10 13
5 2 3
1 5 4
2 3 4
3 5 4
5 5
45 93 78
30 47 67
75 69 78
75 37 57
2 96 22
4 2 1
5 1 4
2 3 1
4 3 1
5 4 3
5 3
59 31 14
32 37 35
76 22 89
97 10 12
38 12 79
5 1 3
3 2 5
1 3 2
5 5
91 23 35
93 41 1
46 12 70
94 63 49
82 35 35
4 1 2
2 3 4
1 4 5
1 5 3
2 1 3
5 6
7 94 15
65 4 33
40 52 70
8 30 11
79 93 84
1 3 5
1 2 3
2 3 5
1 4 3
1 5 2
2 1 4
5 3
42 24 11
19 72 45
67 10 79
22 27 53
100 97 10
4 2 5
5 4 1
1 2 5
5 5
20 10 47
46 59 24
38 88 60
82 82 92
62 11 55
5 4 1
3 1 4
3 5 4
2 1 3
2 1 5
5 6
16 85 37
61 51 67
38 98 44
57 70 68
40 39 39
1 2 5
2 4 5
4 3 2
5 3 4
3 5 1
1 4 5
5 3
84 13 24
57 94 16
8 35 28
97 62 54
18 80 28
3 2 5
4 1 3
4 5 2
5 3
73 54 29
60 22 19
85 35 7
6 81 40
72 35 78
4 5 1
3 1 4
3 2 4
5 6
49 74 96
19 90 17
42 34 31
51 69 19
33 7 66
3 2 4
1 2 5
1 3 2
1 4 2
3 1 4
5 3 1
5 7
100 15 62
68 97 62
93 9 14
69 43 49
64 95 13
5 3 1
5 1 4
4 3 1
1 2 4
2 4 5
5 2 1
3 4 5
5 6
67 4 18
57 88 4
94 54 35
55 91 60
60 75 6
2 1 3
4 1 3
1 5 2
4 1 2
3 2 4
1 5 3
5 7
38 35 37
95 41 43
95 44 79
22 76 100
60 40 77
3 2 5
2 3 4
4 1 5
5 3 4
2 4 1
1 2 3
5 1 2
5 3
34 32 92
41 24 70
32 77 34
40 31 6
93 50 50
3 2 5
5 4 2
3 5 4
5 5
52 74 16
45 72 69
34 17 64
80 80 38
84 13 47
3 1 5
4 3 1
3 2 4
4 5 2
2 4 1
5 6
91 74 10
55 23 96
43 67 44
84 35 95
23 84 60
3 5 2
4 3 2
4 5 1
5 4 3
1 2 3
1 4 3
5 7
55 27 64
64 53 59
85 27 31
4 27 74
57 8 53
2 1 5
3 2 1
2 4 5
4 2 1
1 5 4
3 2 4
5 3 4
5 6
69 89 86
100 85 30
36 11 28
27 74 51
27 39 50
2 3 4
5 2 4
3 4 5
1 2 5
5 1 4
1 3 5
5 3
81 33 65
67 22 60
64 8 22
85 16 11
49 97 74
5 3 1
2 1 3
1 5 4
5 3
79 64 96
60 65 68
59 70 60
64 35 11
23 63 37
3 1 4
2 5 3
5 1 3
5 7
34 65 79
33 100 27
58 92 80
51 89 79
95 13 53
4 5 3
5 4 2
2 5 1
3 1 4
4 1 2
2 5 3
3 2 4
5 6
81 14 50
67 65 90
21 73 69
90 21 72
86 21 85
2 5 1
2 4 5
1 3 5
1 2 4
3 1 2
3 5 2
5 3
40 16 66
9 72 31
68 15 43
4 9 26
44 18 66
4 1 2
4 3 2
5 2 3
5 7
82 64 68
65 4 88
27 85 61
30 5 92
35 6 48
4 2 5
1 3 2
5 2 3
2 4 1
4 3 2
4 3 1
3 4 5
5 3
11 86 85
33 53 47
69 76 9
58 95 85
83 8 15
3 2 4
5 3 4
3 2 1
5 7
75 41 75
12 88 50
6 22 3
59 40 98
84 95 90
1 4 2
2 1 3
4 3 2
1 5 3
4 5 1
1 5 2
2 5 4
5 7
44 94 6
7 3 99
40 67 33
27 100 54
41 44 7
2 4 1
5 1 4
5 4 2
5 3 1
1 5 2
3 2 5
3 1 4
5 4
40 28 31
30 61 31
6 49 49
57 93 17
67 90 6
2 5 1
1 4 2
1 5 4
4 2 5
5 7
60 6 69
56 55 11
16 16 32
1 8 55
73 94 32
1 2 5
2 5 4
5 2 3
5 4 1
3 4 5
3 1 2
1 2 4
5 5
17 1 40
52 52 35
16 38 52
71 81 19
22 8 26
1 5 2
3 5 4
5 1 3
2 3 5
5 2 4
5 7
57 98 13
64 58 64
81 91 55
65 25 53
68 34 53
4 1 3
4 5 1
5 3 1
1 2 3
5 2 4
4 3 5
2 3 4
5 6
45 46 94
97 18 1
13 23 85
41 15 72
96 23 4
3 2 5
1 3 2
1 2 4
1 3 5
5 1 2
1 3 4
5 6
49 73 67
89 32 83
53 64 8
94 56 71
83 11 23
1 2 3
2 5 3
2 5 4
1 3 4
4 5 3
2 4 1
5 6
89 20 28
83 27 24
8 93 89
18 45 14
97 59 70
2 5 4
2 3 5
4 3 2
1 4 2
5 4 3
5 1 2
5 6
66 31 80
52 63 85
23 5 65
40 19 94
2 29 21
5 3 4
5 3 2
1 5 3
1 4 3
2 4 3
1 2 3
5 3
73 58 62
68 80 1
81 30 52
76 58 75
65 96 79
5 4 2
2 3 5
3 5 1
5 7
28 6 9
94 46 71
100 81 15
37 33 14
12 92 41
4 3 1
3 2 1
5 3 4
1 5 4
3 5 1
2 5 3
2 5 1
5 6
74 4 84
22 49 57
9 41 27
57 39 76
60 6 2
1 2 4
1 4 3
4 2 3
3 2 5
5 1 3
5 1 4
5 7
5 49 80
38 70 42
78 40 87
100 4 85
88 44 19
2 4 3
3 5 4
1 5 4
5 2 1
2 5 3
2 1 3
1 3 4
5 6
76 53 23
13 82 9
48 20 74
88 10 56
36 10 26
5 3 4
1 5 3
1 2 3
1 4 5
5 2 3
4 1 3
5 6
86 48 74
81 7 82
35 22 39
31 30 51
67 86 52
5 2 3
5 2 1
3 5 4
2 4 5
1 2 3
4 3 2
5 3
90 45 68
37 4 42
51 53 80
85 26 26
59 37 92
3 5 1
5 1 2
1 5 4
5 3
90 81 53
68 43 26
51 49 9
7 1 47
70 21 80
2 5 3
4 3 2
5 1 2
5 6
27 61 1
40 8 8
57 7 34
33 22 81
47 48 10
3 5 1
2 1 4
4 5 3
4 5 1
3 4 2
5 3 2
5 4
38 5 95
27 82 27
49 82 81
46 51 68
31 55 84
4 1 2
1 3 2
3 2 5
3 1 5
5 3
85 13 74
3 74 70
38 51 12
100 5 79
42 2 24
2 4 1
4 5 2
3 5 1
5 4
61 70 44
2 81 90
68 55 25
30 76 75
98 38 72
2 3 5
5 4 2
3 5 4
5 3 1
5 5
30 69 58
6 71 60
51 73 51
78 23 52
78 60 91
3 1 5
4 1 3
3 4 5
1 4 2
4 5 1
5 5
62 28 87
99 67 79
41 39 21
94 10 93
93 97 63
4 3 2
4 1 2
1 3 4
5 1 3
5 2 3
5 3
72 38 43
98 66 9
50 54 47
69 87 69
90 79 69
3 1 4
3 4 5
3 2 5
5 7
47 32 14
23 29 51
35 4 90
35 81 67
73 11 86
3 1 5
4 3 5
2 4 1
3 2 1
4 5 1
3 1 4
4 2 3
5 5
8 18 96
62 89 91
61 26 95
56 31 76
20 18 27
3 2 1
3 1 5
5 2 3
3 4 5
2 5 1
5 5
52 23 66
63 76 16
37 46 85
94 91 3
49 69 91
3 5 1
2 1 5
1 4 5
1 2 4
3 2 1
5 3
26 19 25
82 73 83
78 22 53
60 22 99
41 49 44
3 5 1
5 2 3
3 1 2
5 7
36 95 21
57 91 97
13 26 43
9 53 63
28 71 37
5 2 1
5 2 3
1 4 5
5 2 4
4 3 2
4 5 3
3 1 5
5 7
57 51 6
1 2 44
74 81 44
41 97 44
64 95 76
1 3 5
3 5 2
2 1 5
2 1 3
4 5 2
1 2 4
5 3 4
5 7
38 92 55
43 17 96
3 77 46
19 69 1
78 27 57
2 4 1
5 4 1
5 4 2
3 1 2
2 4 3
4 1 3
5 1 2
5 4
77 45 58
27 40 35
19 96 64
11 47 55
75 33 69
3 2 4
4 3 1
5 2 4
3 5 4
5 5
71 75 79
24 84 96
84 14 31
98 77 20
67 82 57
5 2 3
1 5 4
5 1 3
3 5 4
3 2 1
5 4
74 50 14
39 64 31
16 83 60
99 79 39
25 22 56
4 3 5
2 1 3
1 4 2
2 5 3
5 7
85 48 77
12 83 27
56 50 38
61 92 50
89 82 7
4 3 2
1 4 5
1 3 4
4 2 1
3 5 2
1 3 2
5 1 3
5 6
45 9 89
92 35 98
4 49 77
57 14 14
79 97 18
4 3 2
1 3 2
4 1 3
3 5 4
4 5 2
1 2 4
5 4
86 81 40
78 84 67
47 35 91
39 88 51
85 20 27
1 5 2
3 2 5
4 5 2
4 5 1
5 6
85 67 53
16 38 25
87 99 30
18 85 35
25 1 91
3 5 2
4 5 2
3 1 5
2 5 1
4 3 5
2 3 1
5 4
69 33 23
23 81 45
98 96 75
4 95 85
5 19 16
4 5 3
5 1 4
5 1 3
4 2 5
5 3
56 84 38
35 22 74
84 32 61
59 26 94
34 97 41
5 2 3
5 1 3
5 1 4
5 3
54 21 85
95 65 50
56 17 19
52 99 76
92 19 72
5 3 1
4 5 1
4 2 3
5 6
17 52 3
25 76 6
66 27 6
28 21 67
94 45 30
4 3 1
5 4 1
3 5 4
1 3 5
5 4 2
1 5 2
5 6
82 19 63
16 45 47
82 20 15
33 73 19
35 43 90
3 1 4
3 1 2
1 2 5
1 4 2
1 4 5
4 3 2
5 3
15 77 92
42 47 79
26 54 67
8 75 53
58 71 91
1 5 2
1 3 2
3 4 2
5 3
98 77 79
87 64 66
40 70 70
34 24 9
16 72 44
2 3 1
5 2 1
4 1 2
5 3
12 81 36
81 13 98
75 44 6
65 85 50
99 82 97
4 2 5
1 4 3
2 4 1
5 6
70 42 85
69 64 21
60 82 48
42 60 43
88 65 54
1 5 2
4 3 2
3 5 2
1 4 3
3 5 4
4 2 5
5 4
79 83 13
41 27 46
94 79 43
39 95 55
33 26 38
3 1 2
5 2 3
5 1 3
4 2 5
5 7
43 49 86
71 46 17
89 20 50
72 35 31
98 96 5
1 4 5
4 1 2
5 3 4
4 2 5
5 2 3
5 1 3
3 1 4
5 7
51 41 15
75 47 19
17 20 86
22 53 58
61 44 60
2 4 5
3 4 5
1 2 4
3 1 5
1 5 2
4 1 3
1 5 4
5 5
9 37 21
58 33 72
87 76 59
51 16 23
26 90 86
2 4 3
1 2 5
3 2 1
2 1 4
3 1 5
5 7
42 79 42
93 62 36
87 69 8
27 50 41
32 63 75
3 2 5
5 2 1
3 1 5
2 5 4
3 1 4
2 4 3
2 1 3
5 5
24 95 70
77 50 1
17 28 47
10 27 17
75 95 39
1 4 3
2 1 4
4 2 5
1 3 5
1 4 5
5 3
41 37 38
82 37 23
31 34 30
42 4 11
12 52 22
2 4 3
1 3 5
5 2 3
5 6
40 35 83
10 68 41
51 17 1
4 98 59
14 4 49
2 3 4
2 5 1
2 1 4
5 3 1
2 3 1
4 2 5
5 4
44 87 96
50 60 41
85 98 14
43 86 76
2 91 26
4 3 2
2 5 4
1 3 2
3 2 5
5 7
23 63 94
41 79 26
91 20 47
93 1 32
79 49 40
4 3 1
2 5 3
4 1 2
5 1 3
5 3 4
4 2 5
2 4 3
5 5
70 37 8
33 80 100
85 23 86
18 66 29
62 14 51
1 5 2
2 5 4
1 3 2
3 1 5
1 4 2
5 6
19 36 82
43 14 8
79 18 49
29 98 75
43 81 59
4 2 5
1 4 2
1 2 3
5 4 3
5 4 1
2 3 5
5 7
70 7 16
25 88 12
49 29 34
96 91 84
57 67 60
2 1 4
2 4 3
3 1 2
3 5 4
3 1 4
5 2 3
2 4 5
5 6
72 93 72
16 58 54
69 50 16
28 81 81
76 31 84
4 5 1
4 1 3
5 4 2
3 2 5
1 3 2
4 1 2
5 7
22 3 96
58 28 43
97 4 90
37 96 89
69 93 16
1 3 5
4 3 5
5 2 3
4 3 1
4 5 1
1 5 2
3 1 2
5 3
22 78 45
79 47 59
26 25 53
88 70 32
100 82 47
1 5 3
2 5 3
1 3 4
5 6
72 39 39
44 90 100
14 7 91
38 60 84
21 40 48
4 5 1
3 4 5
4 3 2
5 2 4
2 4 1
5 1 3
5 5
90 23 2
9 7 45
50 96 17
98 12 23
66 16 31
2 4 3
2 3 5
4 3 1
5 4 2
2 1 3
5 4
60 22 29
31 79 11
41 32 8
33 60 87
23 79 3
4 5 1
2 3 5
2 1 3
1 2 5
5 4
81 45 31
16 44 17
60 73 74
31 66 26
26 61 99
2 3 1
5 1 3
3 2 5
3 4 1
5 4
76 12 94
21 81 37
15 32 99
54 5 39
95 37 9
4 1 2
5 4 2
2 1 5
1 5 4
5 5
8 14 96
27 94 74
76 54 20
2 17 4
24 23 12
4 5 3
3 2 4
1 3 5
2 1 5
4 1 2
5 3
94 28 74
14 19 93
55 57 1
55 47 21
85 86 19
4 1 2
2 1 5
5 1 3
0 0
